"","A","Cal","Cvel","Doxy","Iro","Nit","pH","Pho","Sal","Sil","Tem"
"1","Sea snakes",0.635364635364635,0.131885956624102,0.902462275054423,0.345616515927661,0.785648904870873,0.431818181818182,0.860105580693816,0.483123898008642,0.0378787878787879,0.786250289360596
"2","Hydrophiinae",0.635364635364635,0.144643172771991,0.879846547314578,0.488174818748765,1,0.431818181818182,0.962258329905389,0.600978314596386,0.051948051948052,0.299247759608219
"3","Laticaudinae",NA,0.761904761904762,1,0.266666666666667,NA,NA,NA,0.8,0.666666666666667,0.0930735930735931
"4","Aipysurus",0.2,0.445221445221445,0.8,0.533799533799534,0.8,0.666666666666667,1,1,NA,0.370382558617853
"5","Hydrophis ",0.609523809523809,0.346387545255079,0.860105580693816,1,0.82120356423762,0.904761904761905,0.943278943278943,0.891016258682819,0.114285714285714,0.723749346472457
"6","Emydocephalus",NA,1,NA,1,NA,NA,NA,1,1,0.666666666666667
"7","Laticauda",NA,0.761904761904762,1,0.266666666666667,NA,NA,NA,0.8,0.666666666666667,0.0930735930735931
"8","Microcephalophis",NA,1,NA,NA,NA,NA,NA,1,NA,1
