Family,Genus,Species,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem
Hydrophiinae,Aipysurus,Aip_apr,0,62.96,0,10.33,0,0,0,6.07,0,20.68,0,80.21,0,5.78,0,0,0,3.41,0,9.79
Hydrophiinae,Aipysurus,Aip_dub,0,1.78,48.24,1.76,0,0,0,4.81,0,43.41,0,1.11,39.93,6.45,0,0,0,0.09,0,52.43
Hydrophiinae,Aipysurus,Aip_eyd,10.61,2.31,6.72,35.74,4.18,1.19,14.9,12.97,0,11.38,0.4,1.25,26.19,53.5,6.04,1.78,7.25,1.23,0,2.36
Hydrophiinae,Aipysurus,Aip_fol,0,55.06,0,15.74,0,0,0,0,0,29.2,0,63.67,0,18.25,0,0,0,0,0,18.08
Hydrophiinae,Aipysurus,Aip_fus,0,10.55,0,47.58,0,0,0,11.91,0,27.45,0,7.78,0,46.69,0,0,0,11.3,0,36.01
Hydrophiinae,Aipysurus,Aip_lae,1.85,4.87,0,19.44,12.67,49.57,0,7.81,0,3.79,0.02,2.85,0,6.59,18.24,27.27,0,30.33,0,14.69
Hydrophiinae,Aipysurus,Aip_mos,4.56,9.92,0,53.09,11.76,0,0,17.61,0,3.06,0.48,3.43,0,85.09,8.29,0,0,2.44,0,0.27
Hydrophiinae,Aipysurus,Aip_poo,0,0,0,0,0,0,0,0,93.62,6.38,0,0,0,0,0,0,0,0,63.7,36.3
Hydrophiinae,Aipysurus,Aip_ten,0,0,0,0,0,0,43.99,46.52,0,8.8,0,0,0,0,0,0,62.59,17.32,0,19.06
Hydrophiinae,Emydocephalus,Emy_ann,0,2.27,0,4.96,0,0,0,33.6,52.95,6.22,0,2.79,0,4.58,0,0,0,4.58,66.63,22.23
Hydrophiinae,Emydocephalus,Emy_iji,4.27,55.31,0,0,0,0,0,0,0,35.64,10.86,50.96,0,0,0,0,0,0,0,39.4
Hydrophiinae,Hydrophis ,Hyd_atr,0,1.41,17.36,1.27,0,0,0,1.93,0,77.27,0,1.93,17.09,1.42,0,0,0,1.77,0,75.42
Hydrophiinae,Hydrophis ,Hyd_bel,0,3.53,5.52,0,0,0,0,5.22,70.04,15.69,0,2.15,10.26,0,0,0,0,0.21,83.91,3.47
Hydrophiinae,Hydrophis ,Hyd_bro,0,0.72,15.82,0,0,0,0,6.21,0,69.54,0,1.78,10.62,0,0,0,0,0.04,0,87.6
Hydrophiinae,Hydrophis ,Hyd_cae,0,11.04,0,33.51,15.4,0,0,1.8,0,38.67,0,4.84,0,13.95,66.06,0,0,0.69,0,11.8
Hydrophiinae,Hydrophis ,Hyd_cog,6.28,2.4,0,3.67,32.7,0.4,39.66,0,0,9.61,14.8,0,0,16.89,49.53,2.98,3.5,0,0,5.36
Hydrophiinae,Hydrophis ,Hyd_cur,0,0,0,0,0,0,0,13.25,0,86.75,0,0,0,0,0,0,0,3.24,0,96.76
Hydrophiinae,Hydrophis ,Hyd_cya,0,0,0,0,0,0,0,8.08,0,91.92,0,0,0,0,0,0,0,14.5,0,85.5
Hydrophiinae,Hydrophis ,Hyd_cze,0,0,0,0,0,0,0,90.68,0,9.32,0,0,0,0,0,0,0,93.02,0,6.98
Hydrophiinae,Hydrophis ,Hyd_ele,0,2.1,42.08,4.69,0,0,0,2.2,5.14,43.78,0,1.34,14.16,4.02,0,0,0,0.26,42.32,37.92
Hydrophiinae,Hydrophis ,Hyd_fas,0,3.36,1.33,7.47,0,0,0,7.74,0,78.01,0,4.53,6.56,7.84,0,0,0,1.27,0,79.44
Hydrophiinae,Hydrophis ,Hyd_gra,0,1.68,0,7,0,0,0,15.41,0,74.44,0,2.31,0,11.5,0,0,0,9.16,0,75.03
Hydrophiinae,Hydrophis ,Hyd_har,0,0,0,0,0,0,0,33.92,0,66.08,0,0,0,0,0,0,0,67.42,0,32.58
Hydrophiinae,Hydrophis ,Hyd_ino,0,13.11,0,2.91,0,0,0,38.2,0,42.29,0,14.88,0,6.09,0,0,0,1.68,0,74.02
