Subfamily,Genus,Species,Long,Lat
Hydrophiinae,Aipysurus,Aip_dub,114.4167,-21.7167
Hydrophiinae,Aipysurus,Aip_dub,136.4667,-13.2833
Hydrophiinae,Aipysurus,Aip_dub,137.7,-15.366667
Hydrophiinae,Aipysurus,Aip_dub,137.7184,-15.46908
Hydrophiinae,Aipysurus,Aip_dub,136.8683,-14.735
Hydrophiinae,Aipysurus,Aip_dub,137.8725,-15.68833
Hydrophiinae,Aipysurus,Aip_dub,137.55,-15.166667
Hydrophiinae,Aipysurus,Aip_dub,130.3333,-12.7167
Hydrophiinae,Aipysurus,Aip_dub,140.6465,-16.51717
Hydrophiinae,Aipysurus,Aip_dub,141.94166,-11.49166
Hydrophiinae,Aipysurus,Aip_dub,143.55699,-11.54988
Hydrophiinae,Aipysurus,Aip_dub,143.67326,-11.57839
Hydrophiinae,Aipysurus,Aip_dub,141.48333,-13.355
Hydrophiinae,Aipysurus,Aip_dub,143.4675,-11.53167
Hydrophiinae,Aipysurus,Aip_dub,143.61892,-11.51966
Hydrophiinae,Aipysurus,Aip_dub,166.45,-22.26667
Hydrophiinae,Aipysurus,Aip_dub,153,-22
Hydrophiinae,Aipysurus,Aip_dub,155.8,-21.266
Hydrophiinae,Aipysurus,Aip_dub,146.183,-17.083
Hydrophiinae,Aipysurus,Aip_dub,146.46667,-17.3
Hydrophiinae,Aipysurus,Aip_dub,123.08333,-12.2
Hydrophiinae,Aipysurus,Aip_dub,138.7,-16.25
Hydrophiinae,Aipysurus,Aip_dub,137.4,-15.78333
Hydrophiinae,Aipysurus,Aip_dub,146.25,-18.36666
Hydrophiinae,Aipysurus,Aip_dub,137.8283,-15.6783
Hydrophiinae,Aipysurus,Aip_dub,138.95116,-16.44854
Hydrophiinae,Aipysurus,Aip_dub,121.9422,-14.1327
Hydrophiinae,Aipysurus,Aip_dub,147.185,-19.125
Hydrophiinae,Aipysurus,Aip_dub,145.325,-14.555
Hydrophiinae,Aipysurus,Aip_dub,147.435,-19.085
Hydrophiinae,Aipysurus,Aip_dub,145.355,-14.605
Hydrophiinae,Aipysurus,Aip_dub,151.595,-23.295
Hydrophiinae,Aipysurus,Aip_dub,151.875,-23.095
Hydrophiinae,Aipysurus,Aip_dub,146.535,-17.145
Hydrophiinae,Aipysurus,Aip_dub,147.845,-18.965
Hydrophiinae,Aipysurus,Aip_dub,151.705,-23.225
Hydrophiinae,Aipysurus,Aip_dub,153.1,-30.3
Hydrophiinae,Aipysurus,Aip_dub,131.75,-11.066
Hydrophiinae,Aipysurus,Aip_dub,122.233,-17.966
Hydrophiinae,Aipysurus,Aip_dub,136.111667,-14.065
Hydrophiinae,Aipysurus,Aip_dub,125.05,-14.88
Hydrophiinae,Aipysurus,Aip_dub,153.084114,-25.681876
Hydrophiinae,Aipysurus,Aip_dub,153.25278,-25.23667
Hydrophiinae,Aipysurus,Aip_dub,146.878954,-19.120604
Hydrophiinae,Aipysurus,Aip_dub,137.69667,-15.52833
Hydrophiinae,Aipysurus,Aip_dub,153.1,-25.6
Hydrophiinae,Aipysurus,Aip_dub,148.25,-20.016667
Hydrophiinae,Aipysurus,Aip_dub,146.416667,-18.65
Hydrophiinae,Aipysurus,Aip_dub,145.58333,-16.5
Hydrophiinae,Aipysurus,Aip_dub,152.483333,-24.883333
Hydrophiinae,Aipysurus,Aip_dub,153.033333,-25.083333
Hydrophiinae,Aipysurus,Aip_dub,152.63333,-25.15
Hydrophiinae,Aipysurus,Aip_dub,122.973611,-12.213889
Hydrophiinae,Aipysurus,Aip_dub,160.93333,-20.48333
Hydrophiinae,Aipysurus,Aip_dub,153.083333,-25.683333
Hydrophiinae,Aipysurus,Aip_dub,153.083333,-25.6
Hydrophiinae,Aipysurus,Aip_dub,155.76,-21.25
Hydrophiinae,Aipysurus,Aip_dub,155.53,-23.25
Hydrophiinae,Aipysurus,Aip_eyd,100.754167,13.45
Hydrophiinae,Aipysurus,Aip_eyd,100.979558,13.487817
Hydrophiinae,Aipysurus,Aip_eyd,102.745833,11.95
Hydrophiinae,Aipysurus,Aip_eyd,103.65,1.316667
Hydrophiinae,Aipysurus,Aip_eyd,108.1,10.93
Hydrophiinae,Aipysurus,Aip_eyd,112.9,-7.6333
Hydrophiinae,Aipysurus,Aip_eyd,113.216667,-7.75
Hydrophiinae,Aipysurus,Aip_eyd,117.017,23.433
Hydrophiinae,Aipysurus,Aip_eyd,123,-12.233
Hydrophiinae,Aipysurus,Aip_eyd,131.833,-11.266
Hydrophiinae,Aipysurus,Aip_eyd,133.35,-11.333
Hydrophiinae,Aipysurus,Aip_eyd,136.0167,-15.1167
Hydrophiinae,Aipysurus,Aip_eyd,136.16666,-14.31667
Hydrophiinae,Aipysurus,Aip_eyd,136.2,-14.2
Hydrophiinae,Aipysurus,Aip_eyd,136.3114,-14.4523
Hydrophiinae,Aipysurus,Aip_eyd,136.3833,-14.45
Hydrophiinae,Aipysurus,Aip_eyd,136.36275,-14.40226
Hydrophiinae,Aipysurus,Aip_eyd,136.39999,-14.3
Hydrophiinae,Aipysurus,Aip_eyd,136.4833,-14.4833
Hydrophiinae,Aipysurus,Aip_eyd,136.448333,-14.41
Hydrophiinae,Aipysurus,Aip_eyd,136.57,-14.455
Hydrophiinae,Aipysurus,Aip_eyd,136.5333,-14.5167
Hydrophiinae,Aipysurus,Aip_eyd,136.6333,-14.4333
Hydrophiinae,Aipysurus,Aip_eyd,136.6167,-14.5333
Hydrophiinae,Aipysurus,Aip_eyd,136.6,-14.6
Hydrophiinae,Aipysurus,Aip_eyd,136.62763,-14.41616
Hydrophiinae,Aipysurus,Aip_eyd,136.7228,-12.9806
Hydrophiinae,Aipysurus,Aip_eyd,136.7333,-14.5667
Hydrophiinae,Aipysurus,Aip_eyd,136.75,-12.9333
Hydrophiinae,Aipysurus,Aip_eyd,136.751169,-14.448558
Hydrophiinae,Aipysurus,Aip_eyd,136.8333,-12.75
Hydrophiinae,Aipysurus,Aip_eyd,136.851168,-14.448557
Hydrophiinae,Aipysurus,Aip_eyd,136.8833,-12.8333
Hydrophiinae,Aipysurus,Aip_eyd,136.95,-14.6667
Hydrophiinae,Aipysurus,Aip_eyd,136.9667,-15.1
Hydrophiinae,Aipysurus,Aip_eyd,137,-15.1333
Hydrophiinae,Aipysurus,Aip_eyd,137.0333,-15.05
Hydrophiinae,Aipysurus,Aip_eyd,137.1477,-15.0707
Hydrophiinae,Aipysurus,Aip_eyd,137.3733,-15.1667
Hydrophiinae,Aipysurus,Aip_eyd,137.4333,-15.1
Hydrophiinae,Aipysurus,Aip_eyd,137.5333,-14.95
Hydrophiinae,Aipysurus,Aip_eyd,137.6767,-15.4
Hydrophiinae,Aipysurus,Aip_eyd,137.72,-15.4633
Hydrophiinae,Aipysurus,Aip_eyd,137.93441,-15.60775
Hydrophiinae,Aipysurus,Aip_eyd,138.1333,-15.8667
Hydrophiinae,Aipysurus,Aip_eyd,138.1367,-15.7583
Hydrophiinae,Aipysurus,Aip_eyd,138.15,-15.7333
Hydrophiinae,Aipysurus,Aip_eyd,138.95116,-16.44854
Hydrophiinae,Aipysurus,Aip_eyd,139.43417,-16.00833
Hydrophiinae,Aipysurus,Aip_eyd,139.57952,-16.01558
Hydrophiinae,Aipysurus,Aip_eyd,139.58333,-16
Hydrophiinae,Aipysurus,Aip_eyd,139.58917,-15.98334
Hydrophiinae,Aipysurus,Aip_eyd,139.63583,-16.01334
Hydrophiinae,Aipysurus,Aip_eyd,139.88666,-17.18167
Hydrophiinae,Aipysurus,Aip_eyd,139.916,-15.916
Hydrophiinae,Aipysurus,Aip_eyd,139.91666,-15.91667
Hydrophiinae,Aipysurus,Aip_eyd,140,-16
Hydrophiinae,Aipysurus,Aip_eyd,140.016,-17.25
Hydrophiinae,Aipysurus,Aip_eyd,140.02,-17.25833
Hydrophiinae,Aipysurus,Aip_eyd,140.145,-17.45833
Hydrophiinae,Aipysurus,Aip_eyd,140.64167,-16.88167
Hydrophiinae,Aipysurus,Aip_eyd,140.71667,-17.09833
Hydrophiinae,Aipysurus,Aip_eyd,140.75,-16.833
Hydrophiinae,Aipysurus,Aip_eyd,140.8,-16.75
Hydrophiinae,Aipysurus,Aip_eyd,140.85666,-16.97666
Hydrophiinae,Aipysurus,Aip_eyd,140.9,-17.08333
Hydrophiinae,Aipysurus,Aip_eyd,140.88333,-17.10833
Hydrophiinae,Aipysurus,Aip_eyd,140.88833,-16.68333
Hydrophiinae,Aipysurus,Aip_eyd,140.9175,-17.0175
Hydrophiinae,Aipysurus,Aip_eyd,140.935,-16.89167
Hydrophiinae,Aipysurus,Aip_eyd,140.95833,-16.94166
Hydrophiinae,Aipysurus,Aip_eyd,140.983,-16.75
Hydrophiinae,Aipysurus,Aip_eyd,140.99167,-16.75833
Hydrophiinae,Aipysurus,Aip_eyd,141,-16.74166
Hydrophiinae,Aipysurus,Aip_eyd,141.08333,-16.78333
Hydrophiinae,Aipysurus,Aip_eyd,141.14,-15.81166
Hydrophiinae,Aipysurus,Aip_eyd,141.23333,-16.33333
Hydrophiinae,Aipysurus,Aip_eyd,141.25333,-14.32833
Hydrophiinae,Aipysurus,Aip_eyd,141.28166,-13.975
Hydrophiinae,Aipysurus,Aip_eyd,141.333,-14.4
Hydrophiinae,Aipysurus,Aip_eyd,141.333,-15.883
Hydrophiinae,Aipysurus,Aip_eyd,141.35,-14.35
Hydrophiinae,Aipysurus,Aip_eyd,141.35333,-14.06833
Hydrophiinae,Aipysurus,Aip_eyd,141.383,-14.183
Hydrophiinae,Aipysurus,Aip_eyd,141.433,-14.383
Hydrophiinae,Aipysurus,Aip_eyd,141.45,-14.066
Hydrophiinae,Aipysurus,Aip_eyd,141.466,-14.266
Hydrophiinae,Aipysurus,Aip_eyd,141.475,-14.25
Hydrophiinae,Aipysurus,Aip_eyd,141.55333,-12.895
Hydrophiinae,Aipysurus,Aip_eyd,141.55,-12.8333
Hydrophiinae,Aipysurus,Aip_eyd,141.575,-14.10833
Hydrophiinae,Aipysurus,Aip_eyd,141.566,-12.616
Hydrophiinae,Aipysurus,Aip_eyd,141.56666,-12.68333
Hydrophiinae,Aipysurus,Aip_eyd,141.605,-12.865
Hydrophiinae,Aipysurus,Aip_eyd,141.6,-12.65
