,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem
Sea snakes,1,0.29,0.68,0.58,1,0.79,0.84,0.49,0.21,0.51
Hydrophiinae,1,0.27,0.73,0.54,0.86,0.79,1,0.34,0.25,0.17
Laticaudinae,-,0.76,1,1,-,-,-,0.8,0.67,0.13
Aipysurus,0.8,0.45,0.8,0.53,0.4,-,0.67,0.61,NA,0.67
Hydrophis ,0.76,0.66,0.88,1,0.76,0.73,0.66,0.65,0.11,0.29
Emydocephalus,-,1,-,1,-,-,-,1,1,1
Laticauda,-,0.76,1,1,-,-,-,0.8,0.67,0.13
Microcephalophis,-,1,-,-,-,-,-,1,-,1
