Family,Genus,Species,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem,Cal,Cvel,Doxy,Iro,Nit,pH,Pho,Sal,Sil,Tem
Hydrophiinae,Hydrophis ,Hyd_mel,0,0,0,0,0,0,0,65.21,0,34.79,0,0,0,0,0,0,0,45.86,0,54.14
Hydrophiinae,Hydrophis ,Hyd_pac,0,5.28,0.3,4.43,39.02,0,0,5.56,0,45.42,0,3.09,4.2,0.87,29.32,0,0,5.45,0,57.07
Hydrophiinae,Hydrophis ,Hyd_klo,0,0,50,0,0,0,0,0,0,50,0,0,28.7,0,0,0,0,0,0,71.3
Hydrophiinae,Hydrophis ,Hyd_cae,0,8.24,0,39.71,15.03,0,0,0.97,0,36.84,0,1.94,0,22.89,65.16,0,0,0.46,0,9.1
Hydrophiinae,Hydrophis ,Hyd_vip,0,6.73,0,22.06,0,0,0,25.49,0,44.52,0,15.79,0,7.56,0,0,0,1.31,0,74.08
Hydrophiinae,Hydrophis ,Hyd_per,0,0.31,0,6.27,88.12,0,1.15,0,0,4.15,0,0.07,0,6.67,70.1,0,12.62,0,0,10.55
Laticaudinae,Laticauda,Lat_sem,0,27.06,0,0.8,0,0,67.35,0,0,4.8,0,58.8,0,8.19,0,0,33.01,0,0,0
Laticaudinae,Laticauda,Lat_col,0,0.87,4.14,5.71,0,0,0,41.86,3.78,43.64,0,0.22,3.37,4.02,0,0,0,0.66,59.81,31.91
Laticaudinae,Laticauda,Lat_cro,0,0,0,0,0,0,0,96.72,0,3.28,0,0,0,0,0,0,0,88.43,0,11.57
Laticaudinae,Laticauda,Lat_fro,0,0,0,0,77.31,0,0,0,0,22.69,0,0,0,0,69.59,0,0,0,0,30.41
Laticaudinae,Laticauda,Lat_lat,0,3.45,9.17,10.71,0,0,0,0,59.12,17.54,0,0.88,6.57,8.93,0,0,0,0,56.15,27.47
Laticaudinae,Laticauda,Lat_sai,0,4.59,0,14.21,0,0,0,3.32,0,78.62,0,2.47,0,20.78,0,0,0,7.36,0,73.5
Hydrophiinae,Microcephalophis,MIc_gra,0,0.31,0.77,0,0,0,0,48.82,0,49.7,0,1.56,2.54,0,0,0,0,4.59,0,87.93
