Family,Genus,Species,Temp,Limit,Base,Temperature
Hydrophinnae,Aipysurus,Aip_dub,26.167671,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_dub,31.661812,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_dub,24.67,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_dub,30.72,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_dub,2.384718895,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_dub,28.60078812,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_dub,5.380150795,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_dub,28.61416817,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_dub,12.17556763,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_dub,28.61062813,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_dub,22.48207283,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_dub,28.69297981,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_dub,21.47,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_dub,28.44,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_dub,18.59,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_dub,26.34,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_dub,2.279607,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_dub,25.334698,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_dub,5.092024,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_dub,25.563492,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_dub,10.838561,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_dub,25.654135,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_dub,18.129993,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_dub,25.946606,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_eyd,23.756562,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_eyd,32.066566,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_eyd,28.303423,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_eyd,31.807276,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_eyd,28.308426,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_eyd,31.731574,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_eyd,27.686647,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_eyd,31.792,Upper,B_Surf,Max
